# From https://repo.anaconda.com/archive/
# You may as well copy all including anaconda 1 & 2, those are discarded
# Run generate_versions.py to extract Windows, MacOSX, Linux versions of Anaconda3 .sh/.exe and sha256sums
Anaconda3-2024.10-1-Windows-x86_64.exe	950.5M	2024-10-23 09:03:59	c1cb433e23997c84ade4ff7241b61b2f9b10a616c230da34e641e9c96dada49d
Anaconda3-2024.10-1-MacOSX-x86_64.sh	778.5M	2024-10-23 09:03:59	ad3eea1cc969e9dfd4d571fc266aae06ec119f651d7cb19c0dc187b73e2bfab1
Anaconda3-2024.10-1-MacOSX-x86_64.pkg	776.0M	2024-10-23 09:03:59	dc1e2e123431edc1add68992b2db9db40fb2d7255b0739e37c67e7f9569ccd95
Anaconda3-2024.10-1-MacOSX-arm64.sh	747.2M	2024-10-23 09:03:59	f64ed797ce23ae1d07ead949bfb6ff630b9fa8269ca8aef8ea2efa82172ece47
Anaconda3-2024.10-1-MacOSX-arm64.pkg	744.6M	2024-10-23 09:03:59	1643604001b264ce51ca6c18c8cc90c6d00df55e6bba06498c698ca8e0dde82f
Anaconda3-2024.10-1-Linux-x86_64.sh	1.0G	2024-10-23 09:03:59	3ba0a298155c32fbfd80cbc238298560bf69a2df511783054adfc151b76d80d8
Anaconda3-2024.10-1-Linux-s390x.sh	441.2M	2024-10-23 09:03:59	e00bd5e6c275695e8050a45aa85790315f504c95243dfe3632f505284310f3c4
Anaconda3-2024.10-1-Linux-aarch64.sh	843.2M	2024-10-23 09:03:59	489c608e8bddd2cf29dfbdd811cf99087cd6b6a0615d41c6f9058ce340594b65
Anaconda3-2024.06-1-Windows-x86_64.exe	912.3M	2024-06-26 15:40:09	45eef9132b70e3d5a493c26429ddb4e2c9278a32097fd4bc729f860685633a3b
Anaconda3-2024.06-1-MacOSX-x86_64.sh	737.2M	2024-06-26 15:40:09	9b2aa48bfc58e337176d8b5f3776692815807e1346ec12ebcc46a01801bb4ee0
Anaconda3-2024.06-1-MacOSX-x86_64.pkg	734.7M	2024-06-26 15:40:09	9204bfd53baa9ae9a95cf15cbe0a11048c538163d7e50b7f0a2eece45a3f45f6
